"link","Link_url","count"
"[Rd] [RFC] A case for freezing CRAN ","https://stat.ethz.ch/pipermail/r-devel/2014-March/068548.html",64
"[Rd] CRAN policies ","https://stat.ethz.ch/pipermail/r-devel/2012-March/063678.html",51
"[Rd] surprising behaviour of names<- ","https://stat.ethz.ch/pipermail/r-devel/2009-March/052522.html",49
"[Rd] legitimate use of ::: ","https://stat.ethz.ch/pipermail/r-devel/2013-August/067180.html",45
"[Rd] Computer algebra in R - would that be an idea?? ","https://stat.ethz.ch/pipermail/r-devel/2005-July/033940.html",40
"[Rd] if(--as-cran)? ","https://stat.ethz.ch/pipermail/r-devel/2012-September/064760.html",39
"[Rd] declaring package dependencies ","https://stat.ethz.ch/pipermail/r-devel/2013-September/067446.html",39
"[Rd] Suggestion: help(<package name>) ","https://stat.ethz.ch/pipermail/r-devel/2005-June/033480.html",38
"[Rd] Bias in R's random integers? ","https://stat.ethz.ch/pipermail/r-devel/2018-September/076817.html",38
"[Rd] R 3.0, Rtools3.0,l Windows7 64-bit, and permission agony ","https://stat.ethz.ch/pipermail/r-devel/2013-April/066388.html",37
"[Rd] type.convert and doubles ","https://stat.ethz.ch/pipermail/r-devel/2014-April/068778.html",34
"[Rd] how to determine if a function's result is invisible ","https://stat.ethz.ch/pipermail/r-devel/2006-October/043294.html",33
"[Rd] raster support in graphics devices ","https://stat.ethz.ch/pipermail/r-devel/2009-December/055874.html",33
"[Rd] No RTFM? ","https://stat.ethz.ch/pipermail/r-devel/2010-August/058188.html",32
"[Rd] Why R should never move to git ","https://stat.ethz.ch/pipermail/r-devel/2018-January/075412.html",31
"[Rd] Closed-source non-free ParallelR ? ","https://stat.ethz.ch/pipermail/r-devel/2009-April/053092.html",30
"[Rd] Regression stars ","https://stat.ethz.ch/pipermail/r-devel/2013-February/065770.html",30
"[Rd] stopifnot() does not stop at first non-TRUE argument ","https://stat.ethz.ch/pipermail/r-devel/2017-May/074179.html",30
"[Rd] NEWS.md support on CRAN ","https://stat.ethz.ch/pipermail/r-devel/2015-May/071215.html",29
"[Rd] tempdir() may be deleted during long-running R session ","https://stat.ethz.ch/pipermail/r-devel/2017-April/074109.html",29
"[Rd] Julia ","https://stat.ethz.ch/pipermail/r-devel/2012-March/063419.html",28
"[Rd] authorship and citation ","https://stat.ethz.ch/pipermail/r-devel/2015-October/071842.html",28
"[Rd] Overloading methods in R ","https://stat.ethz.ch/pipermail/r-devel/2005-April/032866.html",27
"[Rd] proto and baseenv() ","https://stat.ethz.ch/pipermail/r-devel/2010-February/056756.html",27
"[Rd] proposed changes to RSiteSearch ","https://stat.ethz.ch/pipermail/r-devel/2009-May/053291.html",26
"[Rd] package NAMESPACE question ","https://stat.ethz.ch/pipermail/r-devel/2014-January/068284.html",26
"[Rd] MetaCran website v1.0.0-alpha ","https://stat.ethz.ch/pipermail/r-devel/2015-May/071224.html",26
"[Rd] Question about Unix file paths ","https://stat.ethz.ch/pipermail/r-devel/2003-November/028173.html",25
"[Rd] Wish list ","https://stat.ethz.ch/pipermail/r-devel/2004-January/028490.html",25
"[Rd] Script editor for Windows GUI ","https://stat.ethz.ch/pipermail/r-devel/2004-February/028910.html",25
"[Rd] R 2.1.1 slated for June 20 ","https://stat.ethz.ch/pipermail/r-devel/2005-June/033551.html",25
"[Rd] [R] Semantics of sequences in R ","https://stat.ethz.ch/pipermail/r-devel/2009-February/052268.html",25
"[Rd] bug (PR#13570) ","https://stat.ethz.ch/pipermail/r-devel/2009-March/052392.html",25
"[Rd] suggestion for extending ?as.factor ","https://stat.ethz.ch/pipermail/r-devel/2009-May/053264.html",25
"[Rd] identical(0, -0) ","https://stat.ethz.ch/pipermail/r-devel/2009-August/054260.html",25
"[Rd] Passing R code from webpage ","https://stat.ethz.ch/pipermail/r-devel/2013-February/065890.html",25
"[Rd] Notes on building a gcc toolchain for Rtools (but not	multilib) ","https://stat.ethz.ch/pipermail/r-devel/2015-March/070780.html",25
"[Rd] attributes of environments ","https://stat.ethz.ch/pipermail/r-devel/2006-July/038339.html",24
"[Rd] R CMD check for the R code from vignettes ","https://stat.ethz.ch/pipermail/r-devel/2014-June/069137.html",24
"[Rd] Best practices in developing package: From a single file ","https://stat.ethz.ch/pipermail/r-devel/2018-January/075460.html",24
"[Rd]  download.file does not process gz files correctly (truncates them?) ","https://stat.ethz.ch/pipermail/r-devel/2018-May/076125.html",24
"[Rd] 'CanMakeUseOf' field ","https://stat.ethz.ch/pipermail/r-devel/2006-August/042416.html",23
"[Rd] Optimization in R ","https://stat.ethz.ch/pipermail/r-devel/2007-August/046529.html",23
"[Rd] using rasterImage within image ","https://stat.ethz.ch/pipermail/r-devel/2011-February/059859.html",23
"[Rd] Wishlist: write R's bin path to the PATH variable and remove the version string in the installation dir under Windows ","https://stat.ethz.ch/pipermail/r-devel/2011-May/060820.html",23
"[Rd] Recent and upcoming changes to R-devel ","https://stat.ethz.ch/pipermail/r-devel/2011-July/061435.html",23
"[Rd] Re R CMD check checking in development version of R ","https://stat.ethz.ch/pipermail/r-devel/2014-August/069678.html",23
"[Rd] NEWS.md support on CRAN ","https://stat.ethz.ch/pipermail/r-devel/2015-June/071306.html",23
"[Rd] stats::line() does not produce correct Tukey line when n mod 6 is 2 or 3 ","https://stat.ethz.ch/pipermail/r-devel/2017-May/074345.html",23
"[Rd] [WISH / PATCH] possibility to split string literals across multiple lines ","https://stat.ethz.ch/pipermail/r-devel/2017-June/074431.html",23
"[Rd] call fortran in R ","https://stat.ethz.ch/pipermail/r-devel/2005-August/034133.html",22
"[Rd] Links to non-vignette documentation ","https://stat.ethz.ch/pipermail/r-devel/2006-February/036617.html",22
"[Rd] RFC: allow packages to advertise vignettes on Windows ","https://stat.ethz.ch/pipermail/r-devel/2007-May/045754.html",22
"[Rd] Non-GPL packages for R ","https://stat.ethz.ch/pipermail/r-devel/2009-September/054735.html",22
"[Rd] Comments requested on ""changedFiles"" function ","https://stat.ethz.ch/pipermail/r-devel/2013-September/067362.html",22
"[Rd] [New Patch] Fix disk corruption when writing ","https://stat.ethz.ch/pipermail/r-devel/2017-July/074577.html",22
"[Rd] looks in liblapack.a not liblapack.so ","https://stat.ethz.ch/pipermail/r-devel/2005-September/034688.html",21
"[Rd] why is \alias{anRpackage} not mandatory? ","https://stat.ethz.ch/pipermail/r-devel/2008-October/050868.html",21
"[Rd] installing spam package is failing (spam_0.29-1) ","https://stat.ethz.ch/pipermail/r-devel/2012-July/064418.html",21
"[Rd] cat with backspace and newline characters ","https://stat.ethz.ch/pipermail/r-devel/2013-November/067860.html",21
"[Rd] Improving string concatenation ","https://stat.ethz.ch/pipermail/r-devel/2015-June/071395.html",21
"[Rd] length of `...` ","https://stat.ethz.ch/pipermail/r-devel/2018-May/076130.html",21
"[Rd] Re: [R-SIG-Mac] R version on gifi ","https://stat.ethz.ch/pipermail/r-devel/2003-June/026856.html",20
"[Rd] ChangeLog for R packages {was ""Wish list""} ","https://stat.ethz.ch/pipermail/r-devel/2004-January/028534.html",20
"[Rd] about integration of a  library into package creation ","https://stat.ethz.ch/pipermail/r-devel/2006-June/038048.html",20
"[Rd] relist, an inverse operator to unlist ","https://stat.ethz.ch/pipermail/r-devel/2007-May/045722.html",20
"[Rd] question ","https://stat.ethz.ch/pipermail/r-devel/2009-March/052428.html",20
"[Rd] License status of CRAN packages ","https://stat.ethz.ch/pipermail/r-devel/2009-April/053144.html",20
